Process ID: 112
User ID: 0
Current Time and date : Sun Feb 10 22:40:01 2019

Buffer length = 322
Userspace input 319 = 696757905
Userspace input 320 = 360085564
Userspace input 321 = 1533829731
Sort Execution Time = 3 sec, 111 msec (111120 microsec) (111120667 nanosec)
Userspace output 0 = 2140235243
Userspace output 1 = 2138889679
Userspace output 2 = 2138264360
Userspace output 3 = 2131641274
Userspace output 4 = 2126004385
Userspace output 5 = 2119651953
Userspace output 6 = 2116951964
Userspace output 7 = 2115920101
Userspace output 8 = 2114755851
Userspace output 9 = 2110420607
Userspace output 10 = 2107077727
Userspace output 11 = 2096183257
Userspace output 12 = 2070644366
Userspace output 13 = 2060708341
Userspace output 14 = 2038465568
Userspace output 15 = 2034548425
Userspace output 16 = 2028991217
Userspace output 17 = 2028931111
Userspace output 18 = 2028403068
Userspace output 19 = 2022249553
Userspace output 20 = 2018308726
Userspace output 21 = 2012469728
Userspace output 22 = 2000850883
Userspace output 23 = 1983130091
Userspace output 24 = 1960655760
Userspace output 25 = 1941160359
Userspace output 26 = 1938783685
Userspace output 27 = 1937559960
Userspace output 28 = 1932328249
Userspace output 29 = 1928582700
Userspace output 30 = 1899534506
Userspace output 31 = 1891763462
Userspace output 32 = 1890958550
Userspace output 33 = 1877687115
Userspace output 34 = 1873144642
Userspace output 35 = 1871484721
Userspace output 36 = 1868307309
Userspace output 37 = 1867628987
Userspace output 38 = 1863126855
Userspace output 39 = 1860516746
Userspace output 40 = 1859249887
Userspace output 41 = 1858433634
Userspace output 42 = 1850920323
Userspace output 43 = 1840416846
Userspace output 44 = 1838411558
Userspace output 45 = 1836675296
Userspace output 46 = 1829815963
Userspace output 47 = 1820024384
Userspace output 48 = 1819664071
Userspace output 49 = 1818937583
Userspace output 50 = 1816833402
Userspace output 51 = 1813775712
Userspace output 52 = 1806408836
Userspace output 53 = 1803001813
Userspace output 54 = 1796053482
Userspace output 55 = 1795346733
Userspace output 56 = 1788433444
Userspace output 57 = 1772497682
Userspace output 58 = 1764489935
Userspace output 59 = 1754469086
Userspace output 60 = 1751370403
Userspace output 61 = 1745498411
Userspace output 62 = 1741738234
Userspace output 63 = 1740869993
Userspace output 64 = 1727458486
Userspace output 65 = 1726616554
Userspace output 66 = 1719859022
Userspace output 67 = 1714926836
Userspace output 68 = 1714265671
Userspace output 69 = 1694444235
Userspace output 70 = 1694357194
Userspace output 71 = 1690539825
Userspace output 72 = 1690076474
Userspace output 73 = 1688899559
Userspace output 74 = 1684656833
Userspace output 75 = 1657208329
Userspace output 76 = 1654796878
Userspace output 77 = 1644250912
Userspace output 78 = 1643322760
Userspace output 79 = 1643019740
Userspace output 80 = 1631851914
Userspace output 81 = 1623146655
Userspace output 82 = 1622951416
Userspace output 83 = 1607175571
Userspace output 84 = 1600264635
Userspace output 85 = 1589586122
Userspace output 86 = 1579983789
Userspace output 87 = 1579971156
Userspace output 88 = 1571242134
Userspace output 89 = 1568165349
Userspace output 90 = 1564469852
Userspace output 91 = 1564048367
Userspace output 92 = 1535056769
Userspace output 93 = 1534546705
Userspace output 94 = 1534221230
Userspace output 95 = 1533829731
Userspace output 96 = 1528082474
Userspace output 97 = 1526946801
Userspace output 98 = 1526037535
Userspace output 99 = 1525170333
Userspace output 100 = 1523859089
Userspace output 101 = 1522550729
Userspace output 102 = 1516777496
Userspace output 103 = 1514225972
Userspace output 104 = 1511865221
Userspace output 105 = 1499806908
Userspace output 106 = 1497549269
Userspace output 107 = 1485631615
Userspace output 108 = 1478626943
Userspace output 109 = 1478552205
Userspace output 110 = 1470032975
Userspace output 111 = 1466390874
Userspace output 112 = 1461478726
Userspace output 113 = 1455819188
Userspace output 114 = 1454809462
Userspace output 115 = 1454190601
Userspace output 116 = 1452380062
Userspace output 117 = 1435920521
Userspace output 118 = 1433413233
Userspace output 119 = 1425816950
Userspace output 120 = 1417837087
Userspace output 121 = 1405975400
Userspace output 122 = 1403033376
Userspace output 123 = 1395269105
Userspace output 124 = 1393457928
Userspace output 125 = 1387933576
Userspace output 126 = 1386151086
Userspace output 127 = 1379615568
Userspace output 128 = 1343775077
Userspace output 129 = 1336974219
Userspace output 130 = 1334307007
Userspace output 131 = 1327617534
Userspace output 132 = 1326765858
Userspace output 133 = 1298361768
Userspace output 134 = 1291387473
Userspace output 135 = 1289202133
Userspace output 136 = 1271652339
Userspace output 137 = 1269078834
Userspace output 138 = 1267301681
Userspace output 139 = 1261887423
Userspace output 140 = 1245298444
Userspace output 141 = 1243470150
Userspace output 142 = 1241621843
Userspace output 143 = 1241253518
Userspace output 144 = 1238950416
Userspace output 145 = 1238882335
Userspace output 146 = 1212362851
Userspace output 147 = 1211836072
Userspace output 148 = 1210756894
Userspace output 149 = 1208887553
Userspace output 150 = 1196780828
Userspace output 151 = 1190403638
Userspace output 152 = 1175562106
Userspace output 153 = 1169291852
Userspace output 154 = 1166575702
Userspace output 155 = 1148809251
Userspace output 156 = 1143007989
Userspace output 157 = 1141730505
Userspace output 158 = 1128613345
Userspace output 159 = 1120064349
Userspace output 160 = 1116352893
Userspace output 161 = 1111315165
Userspace output 162 = 1097624972
Userspace output 163 = 1079751618
Userspace output 164 = 1075006589
Userspace output 165 = 1072911081
Userspace output 166 = 1072520616
Userspace output 167 = 1056969326
Userspace output 168 = 1052950597
Userspace output 169 = 1050075179
Userspace output 170 = 1044124405
Userspace output 171 = 1037807155
Userspace output 172 = 1020930784
Userspace output 173 = 1018914971
Userspace output 174 = 1013358648
Userspace output 175 = 1012616608
Userspace output 176 = 1008060433
Userspace output 177 = 1006487430
Userspace output 178 = 995834399
Userspace output 179 = 993979728
Userspace output 180 = 982398879
Userspace output 181 = 975955747
Userspace output 182 = 967006959
Userspace output 183 = 966736459
Userspace output 184 = 964785785
Userspace output 185 = 951915434
Userspace output 186 = 948568226
Userspace output 187 = 942709062
Userspace output 188 = 940710249
Userspace output 189 = 936976866
Userspace output 190 = 922441822
Userspace output 191 = 918977836
Userspace output 192 = 916169309
Userspace output 193 = 902999574
Userspace output 194 = 898079201
Userspace output 195 = 893780287
Userspace output 196 = 889735616
Userspace output 197 = 884935059
Userspace output 198 = 881687178
Userspace output 199 = 874872302
Userspace output 200 = 865382775
Userspace output 201 = 860820480
Userspace output 202 = 855703068
Userspace output 203 = 854561414
Userspace output 204 = 850337229
Userspace output 205 = 838434363
Userspace output 206 = 833690982
Userspace output 207 = 820200762
Userspace output 208 = 820019581
Userspace output 209 = 810447245
Userspace output 210 = 808771658
Userspace output 211 = 789414103
Userspace output 212 = 788167742
Userspace output 213 = 785460961
Userspace output 214 = 782644957
Userspace output 215 = 775880625
Userspace output 216 = 766989078
Userspace output 217 = 760489358
Userspace output 218 = 753240953
Userspace output 219 = 737398580
Userspace output 220 = 727053178
Userspace output 221 = 724382848
Userspace output 222 = 722435652
Userspace output 223 = 721090450
Userspace output 224 = 716437373
Userspace output 225 = 707898943
Userspace output 226 = 703049593
Userspace output 227 = 697395102
Userspace output 228 = 696757905
Userspace output 229 = 695395368
Userspace output 230 = 685934889
Userspace output 231 = 676235097
Userspace output 232 = 666894988
Userspace output 233 = 655944457
Userspace output 234 = 654139495
Userspace output 235 = 652732670
Userspace output 236 = 625878498
Userspace output 237 = 622129605
Userspace output 238 = 621673885
Userspace output 239 = 619745162
Userspace output 240 = 615375020
Userspace output 241 = 612871338
Userspace output 242 = 566083572
Userspace output 243 = 559040372
Userspace output 244 = 547988384
Userspace output 245 = 547903342
Userspace output 246 = 547413038
Userspace output 247 = 545634984
Userspace output 248 = 524021590
Userspace output 249 = 497765657
Userspace output 250 = 488508069
Userspace output 251 = 487354044
Userspace output 252 = 487352295
Userspace output 253 = 475718927
Userspace output 254 = 473050572
Userspace output 255 = 470500058
Userspace output 256 = 462804329
Userspace output 257 = 457256646
Userspace output 258 = 452378248
Userspace output 259 = 448583386
Userspace output 260 = 448421361
Userspace output 261 = 428722604
Userspace output 262 = 425380276
Userspace output 263 = 415954810
Userspace output 264 = 411059048
Userspace output 265 = 391969958
Userspace output 266 = 386055609
Userspace output 267 = 383668690
Userspace output 268 = 382652496
Userspace output 269 = 375196570
Userspace output 270 = 374066214
Userspace output 271 = 371212399
Userspace output 272 = 370294929
Userspace output 273 = 363385448
Userspace output 274 = 360226392
Userspace output 275 = 360085564
Userspace output 276 = 347182625
Userspace output 277 = 345102048
Userspace output 278 = 343746235
Userspace output 279 = 343111900
Userspace output 280 = 338096737
Userspace output 281 = 318059248
Userspace output 282 = 314741626
Userspace output 283 = 295682588
Userspace output 284 = 286828955
Userspace output 285 = 277542355
Userspace output 286 = 264146152
Userspace output 287 = 259241248
Userspace output 288 = 251859035
Userspace output 289 = 233197274
Userspace output 290 = 232232807
Userspace output 291 = 215927127
Userspace output 292 = 174113614
Userspace output 293 = 161760893
Userspace output 294 = 158837279
Userspace output 295 = 153726661
Userspace output 296 = 151995977
Userspace output 297 = 146421967
Userspace output 298 = 144026235
Userspace output 299 = 141325444
Userspace output 300 = 124363948
Userspace output 301 = 121774239
Userspace output 302 = 118565973
Userspace output 303 = 107397651
Userspace output 304 = 105513657
Userspace output 305 = 103488525
Userspace output 306 = 98132374
Userspace output 307 = 90373020
Userspace output 308 = 86639637
Userspace output 309 = 86073115
Userspace output 310 = 75656830
Userspace output 311 = 70170667
Userspace output 312 = 58922134
Userspace output 313 = 56144999
Userspace output 314 = 48691404
Userspace output 315 = 44105533
Userspace output 316 = 44051985
Userspace output 317 = 42706422
Userspace output 318 = 21312396
Userspace output 319 = 11248533
Userspace output 320 = 9764916
Userspace output 321 = 6974295
Process ID: 116
User ID: 0
Current Time and date : Sun Feb 10 22:50:01 2019

Buffer length = 347
Userspace input 0 = 390448543
Userspace input 1 = 1872199521
Userspace input 2 = 1952556338
Userspace input 3 = 1371480752
Userspace input 4 = 1539366998
Userspace input 5 = 1923022070
Userspace input 6 = 391543324
Userspace input 7 = 1031261678
Userspace input 8 = 268924623
Userspace input 9 = 703379447
Userspace input 10 = 755850358
Userspace input 11 = 1561089864
Userspace input 12 = 678626816
Userspace input 13 = 1368193154
Userspace input 14 = 1354230687
Userspace input 15 = 1373407572
Userspace input 16 = 403180407
Userspace input 17 = 1859446199
Userspace input 18 = 371541021
Userspace input 19 = 591400184
Userspace input 20 = 292224576
Userspace input 21 = 633105689
Userspace input 22 = 1775063503
Userspace input 23 = 1596180413
Userspace input 24 = 1127466990
Userspace input 25 = 142353481
Userspace input 26 = 1311250984
Userspace input 27 = 1269205828
Userspace input 28 = 637048848
Userspace input 29 = 825219956
Userspace input 30 = 1541371807
Userspace input 31 = 1027497391
Userspace input 32 = 549935830
Userspace input 33 = 1346444498
Userspace input 34 = 251494496
Userspace input 35 = 2089302828
Userspace input 36 = 1121982920
Userspace input 37 = 643037820
Userspace input 38 = 973080858
Userspace input 39 = 1390907543
Userspace input 40 = 1346417268
Userspace input 41 = 1728931216
Userspace input 42 = 804513759
Userspace input 43 = 2025044084
Userspace input 44 = 949640723
Userspace input 45 = 11260798
Userspace input 46 = 1250968008
Userspace input 47 = 1352821130
Userspace input 48 = 1870706998
Userspace input 49 = 1622509029
Userspace input 50 = 1944221314
Userspace input 51 = 15447926
Userspace input 52 = 108131070
Userspace input 53 = 1571801170
Userspace input 54 = 1611628340
Userspace input 55 = 1235598060
Userspace input 56 = 1714154651
Userspace input 57 = 775395676
Userspace input 58 = 357320241
Userspace input 59 = 203719851
Userspace input 60 = 1600615632
Userspace input 61 = 1898692048
Userspace input 62 = 1231217243
Userspace input 63 = 3067814
Userspace input 64 = 1097652898
Userspace input 65 = 1482711739
Userspace input 66 = 2092370642
Userspace input 67 = 72152170
Userspace input 68 = 2125749559
Userspace input 69 = 917967853
Userspace input 70 = 1463059713
Userspace input 71 = 1324683179
Userspace input 72 = 499415421
Userspace input 73 = 120089825
Userspace input 74 = 1202243615
Userspace input 75 = 1449056144
Userspace input 76 = 131350623
Userspace input 77 = 305727975
Userspace input 78 = 654393626
Userspace input 79 = 2002057621
Userspace input 80 = 1928237005
Userspace input 81 = 451131293
Userspace input 82 = 2017505548
Userspace input 83 = 2036368075
Userspace input 84 = 2022932463
Userspace input 85 = 1481650240
Userspace input 86 = 1124482488
Userspace input 87 = 1589603466
Userspace input 88 = 109562268
Userspace input 89 = 1481802729
Userspace input 90 = 1793323317
Userspace input 91 = 1710177900
Userspace input 92 = 1233011129
Userspace input 93 = 877056912
Userspace input 94 = 1713245715
Userspace input 95 = 183180380
Userspace input 96 = 212285003
Userspace input 97 = 1658132709
Userspace input 98 = 255332550
Userspace input 99 = 190550915
Userspace input 100 = 428616914
Userspace input 101 = 1718392264
Userspace input 102 = 1515234094
Userspace input 103 = 928032336
Userspace input 104 = 1838482089
Userspace input 105 = 569994062
Userspace input 106 = 229604832
Userspace input 107 = 1969832712
Userspace input 108 = 875722037
Userspace input 109 = 883998459
Userspace input 110 = 1824406686
Userspace input 111 = 656475394
Userspace input 112 = 1335129752
Userspace input 113 = 1694428586
Userspace input 114 = 545359822
Userspace input 115 = 1210578567
Userspace input 116 = 1028595178
Userspace input 117 = 1669842310
Userspace input 118 = 652698385
Userspace input 119 = 1138157446
Userspace input 120 = 1004161391
Userspace input 121 = 298538054
Userspace input 122 = 700851698
Userspace input 123 = 89688872
Userspace input 124 = 1175594967
Userspace input 125 = 266613765
Userspace input 126 = 272869252
Userspace input 127 = 1387879970
Userspace input 128 = 1924746475
Userspace input 129 = 528201803
Userspace input 130 = 1578430885
Userspace input 131 = 205879741
Userspace input 132 = 99110419
Userspace input 133 = 946181332
Userspace input 134 = 1133912077
Userspace input 135 = 1937592508
Userspace input 136 = 1516175394
Userspace input 137 = 1363516910
Userspace input 138 = 1759941572
Userspace input 139 = 244413783
Userspace input 140 = 100031721
Userspace input 141 = 1436864610
Userspace input 142 = 900889178
Userspace input 143 = 1435161473
Userspace input 144 = 983809548
Userspace input 145 = 1446249000
Userspace input 146 = 498256392
Userspace input 147 = 2012404726
Userspace input 148 = 968607662
Userspace input 149 = 1150954777
Userspace input 150 = 1003078524
Userspace input 151 = 1972769053
Userspace input 152 = 1449492831
Userspace input 153 = 1703930223
Userspace input 154 = 2062457925
Userspace input 155 = 477604150
Userspace input 156 = 1970543988
Userspace input 157 = 187843530
Userspace input 158 = 1865484121
Userspace input 159 = 1747806815
Userspace input 160 = 716045333
Userspace input 161 = 1296431358
Userspace input 162 = 1953686557
Userspace input 163 = 815155752
Userspace input 164 = 95129042
Userspace input 165 = 940114986
Userspace input 166 = 605264612
Userspace input 167 = 1611304436
Userspace input 168 = 156148248
Userspace input 169 = 217722536
Userspace input 170 = 1855718220
Userspace input 171 = 256179969
Userspace input 172 = 1654587147
Userspace input 173 = 609123750
Userspace input 174 = 1691341442
Userspace input 175 = 490913047
Userspace input 176 = 2055372750
Userspace input 177 = 42114186
Userspace input 178 = 355834126
Userspace input 179 = 876496764
Userspace input 180 = 1193068963
Userspace input 181 = 1358912650
Userspace input 182 = 701782169
Userspace input 183 = 495078147
Userspace input 184 = 915359225
Userspace input 185 = 616756446
Userspace input 186 = 972682297
Userspace input 187 = 738419566
Userspace input 188 = 804599976
Userspace input 189 = 690682770
Userspace input 190 = 338742733
Userspace input 191 = 1520645309
Userspace input 192 = 1987114129
Userspace input 193 = 144945642
Userspace input 194 = 188317413
Userspace input 195 = 2082243171
Userspace input 196 = 1085060629
Userspace input 197 = 793582025
Userspace input 198 = 1546063960
Userspace input 199 = 1241208877
Userspace input 200 = 1011304562
Userspace input 201 = 1254298532
Userspace input 202 = 1497388847
Userspace input 203 = 518408061
Userspace input 204 = 1863422282
Userspace input 205 = 1041246641
Userspace input 206 = 1009321108
Userspace input 207 = 1771311384
Userspace input 208 = 1083360828
Userspace input 209 = 1365155234
Userspace input 210 = 500324500
Userspace input 211 = 128946143
Userspace input 212 = 576584237
Userspace input 213 = 1202106669
Userspace input 214 = 624024290
Userspace input 215 = 1491943462
Userspace input 216 = 1818863115
Userspace input 217 = 1596706588
Userspace input 218 = 82879380
Userspace input 219 = 475979444
Userspace input 220 = 139905710
Userspace input 221 = 421622114
Userspace input 222 = 1996624753
Userspace input 223 = 2127019839
Userspace input 224 = 566567756
Userspace input 225 = 37458519
Userspace input 226 = 2061779363
Userspace input 227 = 1651628385
Userspace input 228 = 831040544
Userspace input 229 = 1460359675
Userspace input 230 = 745353615
Userspace input 231 = 1842345106
Userspace input 232 = 567174559
Userspace input 233 = 95258814
Userspace input 234 = 213269519
Userspace input 235 = 283113193
Userspace input 236 = 1136505455
Userspace input 237 = 1222590628
Userspace input 238 = 2054424577
Userspace input 239 = 72382635
Userspace input 240 = 440262214
Userspace input 241 = 407265429
Userspace input 242 = 201328779
Userspace input 243 = 1016846451
Userspace input 244 = 1609372098
Userspace input 245 = 825353069
Userspace input 246 = 361306266
Userspace input 247 = 1280751565
Userspace input 248 = 274576009
Userspace input 249 = 444185646
Userspace input 250 = 1756731009
Userspace input 251 = 414481720
Userspace input 252 = 865807760
Userspace input 253 = 1605872115
Userspace input 254 = 394017911
Userspace input 255 = 1432375517
Userspace input 256 = 1643330634
Userspace input 257 = 308313626
Userspace input 258 = 936520254
Userspace input 259 = 326887530
Userspace input 260 = 1768673301
Userspace input 261 = 1681873869
Userspace input 262 = 21748989
Userspace input 263 = 188364212
Userspace input 264 = 1777132683
Userspace input 265 = 235018508
Userspace input 266 = 471477405
Userspace input 267 = 766154491
Userspace input 268 = 1457609136
Userspace input 269 = 378418334
Userspace input 270 = 838537126
Userspace input 271 = 1897871351
Userspace input 272 = 785683763
Userspace input 273 = 1039865905
Userspace input 274 = 767234154
Userspace input 275 = 247572213
Userspace input 276 = 1865218975
Userspace input 277 = 1128540420
Userspace input 278 = 1528323779
Userspace input 279 = 2139794984
Userspace input 280 = 1572726067
Userspace input 281 = 1137571140
Userspace input 282 = 406793056
Userspace input 283 = 291050179
Userspace input 284 = 595959607
Userspace input 285 = 800810968
Userspace input 286 = 1723425696
Userspace input 287 = 91806593
Userspace input 288 = 1109124594
Userspace input 289 = 512462303
Userspace input 290 = 418694124
Userspace input 291 = 730314248
Userspace input 292 = 46852524
Userspace input 293 = 440443113
Userspace input 294 = 918678460
Userspace input 295 = 1823985208
Userspace input 296 = 675461621
Userspace input 297 = 1390155866
Userspace input 298 = 442656051
Userspace input 299 = 2133070758
Userspace input 300 = 1768574200
Userspace input 301 = 1281193177
Userspace input 302 = 1883458461
Userspace input 303 = 406774316
Userspace input 304 = 173575435
Userspace input 305 = 503208967
